date,AMZN_actual,MSFT_actual,AMZN_actual_quantile,MSFT_actual_quantile
1970-09-04T00:00:00Z,0.001413904823326817,0.01813368548944716,0.5128,0.95667
1970-09-05T00:00:00Z,1.060670241450623e-4,0.006046671530754999,0.44389,0.67813
1970-09-06T00:00:00Z,-0.006649179074500466,-0.013124954504468711,0.2936,0.1935
1970-09-07T00:00:00Z,-0.003957274186747739,0.007796853092373546,0.37489,0.81623
1970-09-08T00:00:00Z,0.03447020947833579,0.009872573388023831,0.95324,0.65172
1970-09-09T00:00:00Z,0.011517011818972023,-0.003607195905284577,0.85385,0.38762
1970-09-10T00:00:00Z,-0.010941610997585727,-0.011080574855983905,0.10275,0.05507
1970-09-11T00:00:00Z,-0.008840387179647635,0.003332608421024119,0.18282,0.50682
1970-09-12T00:00:00Z,-0.02182111767692163,-0.021495435798477125,0.02698,0.08038
1970-09-13T00:00:00Z,0.009954627313227604,9.641728147853357e-4,0.62976,0.26893
1970-09-14T00:00:00Z,-0.02521181671163042,-0.026271389223549768,0.09533,0.09805
1970-09-15T00:00:00Z,0.007548604624989963,0.02805959672738023,0.5483,0.92551
1970-09-16T00:00:00Z,0.006474567191931513,0.006074335484132831,0.68552,0.61371
1970-09-17T00:00:00Z,-0.021754381761121877,-0.009745861953137869,0.13476,0.27331
1970-09-18T00:00:00Z,0.0021235210828773887,-0.011840534299391692,0.55164,0.07705
1970-09-19T00:00:00Z,0.014335165823577967,0.00653886456228836,0.87299,0.50013
1970-09-20T00:00:00Z,-0.012209821186687009,-0.015465148920129401,0.12093,0.15039
1970-09-21T00:00:00Z,-0.007452221399297798,-0.00173848330833426,0.32072,0.29878
1970-09-22T00:00:00Z,0.005304424791349405,0.01766578853070566,0.522,0.72019
1970-09-23T00:00:00Z,0.04468686711993364,0.03584935837202696,0.98504,0.96983
1970-09-24T00:00:00Z,0.013274974856367194,0.0028043240394470814,0.68582,0.46509
1970-09-25T00:00:00Z,-0.004473266440442103,0.004346658153569827,0.23083,0.52157
1970-09-26T00:00:00Z,5.374911134250482e-4,0.015720012975126707,0.57197,0.81888
1970-09-27T00:00:00Z,0.00970679906461136,0.012125047840499725,0.6922,0.78456
1970-09-28T00:00:00Z,-0.02852882668653578,0.0024503677325240503,0.04819,0.56249
1970-09-29T00:00:00Z,0.0015579239799397016,0.025561441576989807,0.46356,0.99696
1970-09-30T00:00:00Z,-0.009752108122915715,-0.029605619519299076,0.2644,0.10121
1970-10-01T00:00:00Z,0.04174625590149539,0.03261452738327275,0.94444,0.88103
1970-10-02T00:00:00Z,0.011043033602884833,-5.843518123285207e-4,0.68492,0.52541
1970-10-03T00:00:00Z,-0.02016345286518728,0.014466294583748152,0.14464,0.80061
1970-10-04T00:00:00Z,0.00556030258180229,-0.004082416383859311,0.65722,0.50151
1970-10-05T00:00:00Z,0.006329342575440933,7.847917758452283e-4,0.62927,0.60132
1970-10-06T00:00:00Z,-0.00875198630641627,0.0011141767761397858,0.23954,0.48768
1970-10-07T00:00:00Z,-0.005413442176918082,0.005347178694221633,0.26252,0.64538
1970-10-08T00:00:00Z,-0.005588939140366733,-0.003904717259127999,0.36509,0.30052
1970-10-09T00:00:00Z,-0.007467213773690418,0.006853971789972491,0.25687,0.82501
1970-10-10T00:00:00Z,0.0047646755415176045,0.002042985060443314,0.58057,0.60085
1970-10-11T00:00:00Z,-0.0026761784928392984,-0.005279465473240208,0.35074,0.39302
1970-10-12T00:00:00Z,0.012068379045471644,0.0020496010706487766,0.81297,0.47431
1970-10-13T00:00:00Z,0.005903428654917775,-0.001680379126122844,0.72444,0.45514
1970-10-14T00:00:00Z,-0.023816428655939248,-0.01163472170116453,0.0186,0.04743
1970-10-15T00:00:00Z,-0.021510325503511396,-0.02717423898500826,0.08197,0.01855
1970-10-16T00:00:00Z,0.004316710081051056,-0.005301611471320022,0.57822,0.31434
1970-10-17T00:00:00Z,-0.011007289522099839,0.005472199456940885,0.28758,0.53244
1970-10-18T00:00:00Z,-0.032936939889639305,-0.023990441251414474,0.04673,0.02919
1970-10-19T00:00:00Z,0.01163248806357231,0.014695627957694413,0.6965,0.7153
1970-10-20T00:00:00Z,0.01705743087751621,0.019432968696371233,0.88259,0.93279
1970-10-21T00:00:00Z,-0.01654022444846248,-0.013041568922989022,0.12825,0.2243
1970-10-22T00:00:00Z,-0.029358478153977074,-0.027351452951023703,0.02422,0.04116
1970-10-23T00:00:00Z,-0.00917001352303437,-0.0036540664971340675,0.30954,0.19711
1970-10-24T00:00:00Z,0.007658042784946417,0.021251907009154358,0.60157,0.72321
1970-10-25T00:00:00Z,-0.01629964492287428,-0.018345171027607243,0.29756,0.18263
1970-10-26T00:00:00Z,0.036879934725151386,0.027713897324129988,0.93073,0.94254
